GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UMSL,com.futureairlies.casestudy.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
UMSL,com.futureairlies.casestudy.security,SecurityUtils,9,90,2,2,3,20,2,11,0,11
UMSL,com.futureairlies.casestudy.web.rest.errors,ExceptionTranslator,183,0,14,0,41,0,13,0,6,0
UMSL,com.futureairlies.casestudy.web.rest.errors,ErrorConstants,10,0,0,0,3,0,1,0,1,0
UMSL,com.futureairlies.casestudy.web.rest.errors,FieldErrorVM,21,0,0,0,8,0,4,0,4,0
UMSL,com.futureairlies.casestudy.web.rest.errors,BadRequestAlertException,54,0,0,0,12,0,5,0,5,0
UMSL,com.futureairlies.casestudy.config,AsyncConfiguration,50,0,0,0,12,0,3,0,3,0
UMSL,com.futureairlies.casestudy.config,LoggingConfiguration,62,0,10,0,17,0,6,0,1,0
UMSL,com.futureairlies.casestudy.config,LoggingAspectConfiguration,8,0,0,0,2,0,2,0,2,0
UMSL,com.futureairlies.casestudy.config,FeignConfiguration,5,0,0,0,2,0,2,0,2,0
UMSL,com.futureairlies.casestudy.config,WebConfigurer,0,114,2,6,0,26,2,7,0,5
UMSL,com.futureairlies.casestudy.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
UMSL,com.futureairlies.casestudy.config,SecurityConfiguration,138,0,0,0,40,0,4,0,4,0
UMSL,com.futureairlies.casestudy.config,LocaleConfiguration,24,0,0,0,8,0,3,0,3,0
UMSL,com.futureairlies.casestudy.config,DateTimeFormatConfiguration,14,0,0,0,5,0,2,0,2,0
UMSL,com.futureairlies.casestudy.config,JacksonConfiguration,23,0,0,0,6,0,6,0,6,0
UMSL,com.futureairlies.casestudy.config,ApplicationProperties,3,0,0,0,1,0,1,0,1,0
UMSL,com.futureairlies.casestudy.client,UserFeignClientInterceptor,30,0,0,0,4,0,3,0,3,0
UMSL,com.futureairlies.casestudy.security.jwt,JWTConfigurer,18,0,0,0,6,0,2,0,2,0
UMSL,com.futureairlies.casestudy.security.jwt,JWTFilter,0,51,0,8,0,14,0,7,0,3
UMSL,com.futureairlies.casestudy.security.jwt,TokenProvider,67,141,3,1,14,42,3,4,1,4
UMSL,com.futureairlies.casestudy,UmslApp,134,0,12,0,31,0,11,0,5,0
UMSL,com.futureairlies.casestudy,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
